complaint_text,category,priority
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Passenger injured due to sudden brake during night journey,Safety,High
Food packaging is poor,Food,Low
Staff behavior is rude near washroom area,Staff,Medium
Train delayed by 5 hours,Delay,Medium
Garbage not cleaned near seat during night journey,Cleanliness,Medium
Unprofessional staff behavior,Staff,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Staff not helping passengers during night journey,Staff,Medium
Unexpected halt for long time in sleeper coach,Delay,Medium
Washroom door broken and dirty during long distance travel,Cleanliness,Medium
Food packaging is poor in AC coach,Food,Low
Electric shock near charging point during night journey,Safety,High
Stale food served,Food,Low
Water leakage in washroom,Cleanliness,Medium
Electric shock near charging point near washroom area,Safety,High
Fire accident in coach affecting passengers,Safety,High
Unexpected halt for long time,Delay,Medium
Train delayed by 5 hours near washroom area,Delay,Medium
Smoke inside coach causing panic near washroom area,Safety,High
Emergency chain not working during night journey,Safety,High
Dirty washroom in coach affecting passengers,Cleanliness,Medium
Stale food served,Food,Low
Food quality is very bad in AC coach,Food,Low
Door broken and unsafe affecting passengers,Safety,High
Passenger injured due to sudden brake in sleeper coach,Safety,High
Passenger injured due to sudden brake affecting passengers,Safety,High
Smoke inside coach causing panic affecting passengers,Safety,High
Coach floor is dirty affecting passengers,Cleanliness,Medium
No food available in pantry affecting passengers,Food,Low
Overpriced food items in AC coach,Food,Low
Train running behind schedule affecting passengers,Delay,Medium
Ticket examiner not cooperative affecting passengers,Staff,Medium
Fire accident in coach during night journey,Safety,High
Washroom door broken and dirty in sleeper coach,Cleanliness,Medium
Train running behind schedule,Delay,Medium
No food available in pantry affecting passengers,Food,Low
Passenger injured due to sudden brake affecting passengers,Safety,High
Delay due to technical issue affecting passengers,Delay,Medium
Late arrival at destination in sleeper coach,Delay,Medium
Overpriced food items affecting passengers,Food,Low
Unprofessional staff behavior in sleeper coach,Staff,Medium
Staff not helping passengers near washroom area,Staff,Medium
Train running behind schedule during night journey,Delay,Medium
No food available in pantry in AC coach,Food,Low
Washroom door broken and dirty,Cleanliness,Medium
Garbage not cleaned near seat affecting passengers,Cleanliness,Medium
Food packaging is poor in AC coach,Food,Low
Staff behavior is rude in AC coach,Staff,Medium
Unexpected halt for long time in AC coach,Delay,Medium
No response from railway staff near washroom area,Staff,Medium
Dust and dirt inside coach affecting passengers,Cleanliness,Medium
Dust and dirt inside coach near washroom area,Cleanliness,Medium
Smoke inside coach causing panic in sleeper coach,Safety,High
Toilet smells very bad in AC coach,Cleanliness,Medium
Food not hygienic,Food,Low
Emergency chain not working during long distance travel,Safety,High
No food available in pantry,Food,Low
Smoke inside coach causing panic near washroom area,Safety,High
Ticket examiner not cooperative during night journey,Staff,Medium
Passenger injured due to sudden brake near washroom area,Safety,High
Staff behavior is rude near washroom area,Staff,Medium
Door broken and unsafe,Safety,High
Toilet smells very bad during long distance travel,Cleanliness,Medium
Passenger injured due to sudden brake,Safety,High
No food available in pantry,Food,Low
Dust and dirt inside coach in AC coach,Cleanliness,Medium
Washroom door broken and dirty near washroom area,Cleanliness,Medium
Overpriced food items affecting passengers,Food,Low
Unexpected halt for long time during night journey,Delay,Medium
Emergency chain not working during long distance travel,Safety,High
Staff not helping passengers during night journey,Staff,Medium
Staff ignored passenger complaint affecting passengers,Staff,Medium
Food packaging is poor in sleeper coach,Food,Low
Train stopped between stations affecting passengers,Delay,Medium
Door broken and unsafe near washroom area,Safety,High
