complaint_text,category,priority
Food quantity provided was very less compared to the price charged by the pantry staff.,Food,Medium
Seats and windows in coach S1 are covered with dust and stains. It looks like the coach was not cleaned before departure.,Cleanliness,Medium
"Running behind schedule since morning and stopping frequently between stations, causing heavy delay and inconvenience.",Delay,Low
"Running behind schedule since morning and stopping frequently between stations, causing heavy delay and inconvenience.",Delay,Low
Food quantity provided was very less compared to the price charged by the pantry staff.,Food,Medium
Staff used harsh language and behaved in an unprofessional manner with passengers.,Staff,Medium
The TTE behaved rudely when asked about seat confirmation and did not respond politely to passengers.,Staff,Medium
The TTE behaved rudely when asked about seat confirmation and did not respond politely to passengers.,Staff,Medium
Handwash and toilet paper are missing in the washroom of coach A1. The washroom lights are also not working properly.,Cleanliness,Medium
Meals were served very late and were completely cold by the time they reached our seats.,Food,Medium
"A suspicious person was roaming inside the coach at night, raising serious safety concerns.",Safety,High
A passenger collapsed due to a medical emergency and help was delayed significantly.,Safety,High
Harassment incident reported in the ladies coach and no immediate action was taken by authorities.,Safety,High
Someone stole my bag while I was sleeping during the night journey. No security staff was present nearby.,Safety,High
"The train was halted outside the station for a long time without explanation, leading to frustration among passengers.",Delay,Low
A passenger collapsed due to a medical emergency and help was delayed significantly.,Safety,High
"No assistance was provided by railway staff during boarding, causing confusion and crowding.",Staff,Medium
"Wash basin is clogged and dirty water is flowing on the floor in coach B1, creating very unhygienic conditions for passengers.",Cleanliness,Medium
Staff used harsh language and behaved in an unprofessional manner with passengers.,Staff,Medium
Garbage is scattered under the seats and near the washroom area in coach B1. The coach smells bad and has not been cleaned for several hours.,Cleanliness,Medium
Someone stole my bag while I was sleeping during the night journey. No security staff was present nearby.,Safety,High
Seats and windows in coach S3 are covered with dust and stains. It looks like the coach was not cleaned before departure.,Cleanliness,Medium
"Tea served was cold and the cup was dirty, which is unhygienic and unacceptable.",Food,Medium
"Running behind schedule since morning and stopping frequently between stations, causing heavy delay and inconvenience.",Delay,Low
Staff used harsh language and behaved in an unprofessional manner with passengers.,Staff,Medium
"Wash basin is clogged and dirty water is flowing on the floor in coach S2, creating very unhygienic conditions for passengers.",Cleanliness,Medium
"The train was halted outside the station for a long time without explanation, leading to frustration among passengers.",Delay,Low
"Wash basin is clogged and dirty water is flowing on the floor in coach S1, creating very unhygienic conditions for passengers.",Cleanliness,Medium
Garbage is scattered under the seats and near the washroom area in coach S1. The coach smells bad and has not been cleaned for several hours.,Cleanliness,Medium
"Tea served was cold and the cup was dirty, which is unhygienic and unacceptable.",Food,Medium
A passenger collapsed due to a medical emergency and help was delayed significantly.,Safety,High
Handwash and toilet paper are missing in the washroom of coach A1. The washroom lights are also not working properly.,Cleanliness,Medium
Food served by the pantry was of very poor quality. Rice was undercooked and curry had an unpleasant smell.,Food,Medium
"A suspicious person was roaming inside the coach at night, raising serious safety concerns.",Safety,High
Garbage is scattered under the seats and near the washroom area in coach S2. The coach smells bad and has not been cleaned for several hours.,Cleanliness,Medium
Food quantity provided was very less compared to the price charged by the pantry staff.,Food,Medium
Garbage is scattered under the seats and near the washroom area in coach S3. The coach smells bad and has not been cleaned for several hours.,Cleanliness,Medium
Railway staff ignored senior citizens asking for help with boarding and luggage.,Staff,Medium
Coach attendant was sleeping and did not respond to repeated requests for assistance.,Staff,Medium
The TTE behaved rudely when asked about seat confirmation and did not respond politely to passengers.,Staff,Medium
Food quantity provided was very less compared to the price charged by the pantry staff.,Food,Medium
The train is delayed by more than 1 hours without any clear announcement. Passengers are confused and worried about missing connections.,Delay,Low
Meals were served very late and were completely cold by the time they reached our seats.,Food,Medium
The TTE behaved rudely when asked about seat confirmation and did not respond politely to passengers.,Staff,Medium
Someone stole my bag while I was sleeping during the night journey. No security staff was present nearby.,Safety,High
Handwash and toilet paper are missing in the washroom of coach B2. The washroom lights are also not working properly.,Cleanliness,Medium
Meals were served very late and were completely cold by the time they reached our seats.,Food,Medium
"Running behind schedule since morning and stopping frequently between stations, causing heavy delay and inconvenience.",Delay,Low
The TTE behaved rudely when asked about seat confirmation and did not respond politely to passengers.,Staff,Medium
Handwash and toilet paper are missing in the washroom of coach S2. The washroom lights are also not working properly.,Cleanliness,Medium
Overpriced water bottles and snacks are being sold inside the train against railway rules.,Food,Medium
A passenger collapsed due to a medical emergency and help was delayed significantly.,Safety,High
Someone stole my bag while I was sleeping during the night journey. No security staff was present nearby.,Safety,High
Overpriced water bottles and snacks are being sold inside the train against railway rules.,Food,Medium
Overpriced water bottles and snacks are being sold inside the train against railway rules.,Food,Medium
The train is delayed by more than 2 hours without any clear announcement. Passengers are confused and worried about missing connections.,Delay,Low
Someone stole my bag while I was sleeping during the night journey. No security staff was present nearby.,Safety,High
"No assistance was provided by railway staff during boarding, causing confusion and crowding.",Staff,Medium
Staff used harsh language and behaved in an unprofessional manner with passengers.,Staff,Medium
A passenger collapsed due to a medical emergency and help was delayed significantly.,Safety,High
"Smoke was noticed coming from the coach near the electrical panel, creating panic among passengers.",Safety,High
"No assistance was provided by railway staff during boarding, causing confusion and crowding.",Staff,Medium
"Tea served was cold and the cup was dirty, which is unhygienic and unacceptable.",Food,Medium
"The train was halted outside the station for a long time without explanation, leading to frustration among passengers.",Delay,Low
Food served by the pantry was of very poor quality. Rice was undercooked and curry had an unpleasant smell.,Food,Medium
Railway staff ignored senior citizens asking for help with boarding and luggage.,Staff,Medium
Someone stole my bag while I was sleeping during the night journey. No security staff was present nearby.,Safety,High
Food served by the pantry was of very poor quality. Rice was undercooked and curry had an unpleasant smell.,Food,Medium
"No assistance was provided by railway staff during boarding, causing confusion and crowding.",Staff,Medium
"A suspicious person was roaming inside the coach at night, raising serious safety concerns.",Safety,High
"Running behind schedule since morning and stopping frequently between stations, causing heavy delay and inconvenience.",Delay,Low
Staff used harsh language and behaved in an unprofessional manner with passengers.,Staff,Medium
"Tea served was cold and the cup was dirty, which is unhygienic and unacceptable.",Food,Medium
"The train was halted outside the station for a long time without explanation, leading to frustration among passengers.",Delay,Low
A passenger collapsed due to a medical emergency and help was delayed significantly.,Safety,High
Train arrived very late at the station due to operational issues. No proper information was provided to passengers waiting on the platform.,Delay,Low
Handwash and toilet paper are missing in the washroom of coach S1. The washroom lights are also not working properly.,Cleanliness,Medium
Overpriced water bottles and snacks are being sold inside the train against railway rules.,Food,Medium
The train is delayed by more than 3 hours without any clear announcement. Passengers are confused and worried about missing connections.,Delay,Low
The train is delayed by more than 5 hours without any clear announcement. Passengers are confused and worried about missing connections.,Delay,Low
The washroom in coach S3 is extremely dirty since boarding the train. Water is overflowing on the floor and no cleaning staff has attended despite repeated requests to the TTE.,Cleanliness,Medium
"The train was halted outside the station for a long time without explanation, leading to frustration among passengers.",Delay,Low
"No assistance was provided by railway staff during boarding, causing confusion and crowding.",Staff,Medium
"Smoke was noticed coming from the coach near the electrical panel, creating panic among passengers.",Safety,High
Railway staff ignored senior citizens asking for help with boarding and luggage.,Staff,Medium
"Running behind schedule since morning and stopping frequently between stations, causing heavy delay and inconvenience.",Delay,Low
Overpriced water bottles and snacks are being sold inside the train against railway rules.,Food,Medium
"Tea served was cold and the cup was dirty, which is unhygienic and unacceptable.",Food,Medium
A passenger collapsed due to a medical emergency and help was delayed significantly.,Safety,High
Meals were served very late and were completely cold by the time they reached our seats.,Food,Medium
"Wash basin is clogged and dirty water is flowing on the floor in coach S1, creating very unhygienic conditions for passengers.",Cleanliness,Medium
